goos: linux
goarch: amd64
pkg: github.com/tidwall/gjson_benchmarks
BenchmarkJSONDecoder-8            	  336438	     10897 ns/op	    4026 B/op	     160 allocs/op
BenchmarkJSONDecoder-8            	  352374	     10812 ns/op	    4026 B/op	     160 allocs/op
BenchmarkJSONDecoder-8            	  333027	     11003 ns/op	    4026 B/op	     160 allocs/op
BenchmarkJSONDecoder-8            	  314802	     10767 ns/op	    4026 B/op	     160 allocs/op
BenchmarkFFJSONLexer-8            	 1361586	      2745 ns/op	     896 B/op	       8 allocs/op
BenchmarkFFJSONLexer-8            	 1322646	      2742 ns/op	     896 B/op	       8 allocs/op
BenchmarkFFJSONLexer-8            	 1290285	      2814 ns/op	     896 B/op	       8 allocs/op
BenchmarkFFJSONLexer-8            	 1398894	      2870 ns/op	     896 B/op	       8 allocs/op
BenchmarkFFJSONLexer-8            	 1363830	      2725 ns/op	     896 B/op	       8 allocs/op
BenchmarkFFJSONLexer-8            	 1467669	      2602 ns/op	     896 B/op	       8 allocs/op
BenchmarkFFJSONLexer-8            	 1307640	      2607 ns/op	     896 B/op	       8 allocs/op
BenchmarkFFJSONLexer-8            	 1231878	      2584 ns/op	     896 B/op	       8 allocs/op
BenchmarkFFJSONLexer-8            	 1445871	      2597 ns/op	     896 B/op	       8 allocs/op
BenchmarkFFJSONLexer-8            	 1338372	      2589 ns/op	     896 B/op	       8 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       847 ns/op	     501 B/op	       5 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       856 ns/op	     501 B/op	       5 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       845 ns/op	     501 B/op	       5 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       832 ns/op	     501 B/op	       5 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       841 ns/op	     501 B/op	       5 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       829 ns/op	     501 B/op	       5 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       846 ns/op	     501 B/op	       5 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       850 ns/op	     501 B/op	       5 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       853 ns/op	     501 B/op	       5 allocs/op
BenchmarkEasyJSONLexer-8          	 3000000	       857 ns/op	     501 B/op	       5 allocs/op
BenchmarkJSONParserGet-8          	11571474	       315 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONParserGet-8          	 3000000	       403 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONParserGet-8          	 3000000	       366 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONParserGet-8          	10836780	       328 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONParserGet-8          	11499699	       330 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONParserGet-8          	 3000000	       334 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONParserGet-8          	10835730	       325 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONParserGet-8          	10885365	       342 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONParserGet-8          	11081547	       323 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONParserGet-8          	11260518	       325 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONIterator-8           	 3000000	       912 ns/op	     677 B/op	      14 allocs/op
BenchmarkJSONIterator-8           	 3000000	       903 ns/op	     677 B/op	      14 allocs/op
BenchmarkJSONIterator-8           	 3000000	       912 ns/op	     677 B/op	      14 allocs/op
BenchmarkJSONIterator-8           	 3000000	       912 ns/op	     677 B/op	      14 allocs/op
BenchmarkJSONIterator-8           	 3000000	       916 ns/op	     677 B/op	      14 allocs/op
BenchmarkJSONIterator-8           	 3000000	       912 ns/op	     677 B/op	      14 allocs/op
BenchmarkJSONIterator-8           	 3000000	       913 ns/op	     677 B/op	      14 allocs/op
BenchmarkJSONIterator-8           	 3000000	       943 ns/op	     677 B/op	      14 allocs/op
BenchmarkJSONIterator-8           	 3000000	       915 ns/op	     677 B/op	      14 allocs/op
BenchmarkJSONIterator-8           	 3000000	       920 ns/op	     677 B/op	      14 allocs/op
BenchmarkConvertNone-8            	   64754	     18632 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertNone-8            	   65553	     19223 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertNone-8            	   63710	     18345 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertNone-8            	   64462	     18605 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertNone-8            	   63260	     18480 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertNone-8            	   64600	     18695 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertNone-8            	   64306	     18918 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertNone-8            	   64662	     18420 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertNone-8            	   59326	     18914 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertNone-8            	   62096	     18327 ns/op	       0 B/op	       0 allocs/op
BenchmarkConvertGet-8             	   39456	     29655 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGet-8             	   39182	     29967 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGet-8             	   40824	     30049 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGet-8             	   41025	     28690 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGet-8             	   40134	     31577 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGet-8             	   38846	     29676 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGet-8             	   39806	     29796 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGet-8             	   37674	     29741 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGet-8             	   38677	     29198 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGet-8             	   36405	     30041 ns/op	   49152 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   62787	     18861 ns/op	      48 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   64540	     18729 ns/op	      48 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   63808	     19070 ns/op	      48 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   64180	     18331 ns/op	      48 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   63165	     18899 ns/op	      48 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   64915	     19006 ns/op	      48 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   62569	     18552 ns/op	      48 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   63745	     18451 ns/op	      48 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   63711	     18239 ns/op	      48 B/op	       1 allocs/op
BenchmarkConvertGetBytes-8        	   62943	     18562 ns/op	      48 B/op	       1 allocs/op
PASS
ok  	github.com/tidwall/gjson_benchmarks	1276.592s
